"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2020","432.10","431.00","435.95","427.10","32.19K","0.73%"
"12/22/2020","428.95","419.50","430.00","412.00","143.39K","2.24%"
"12/21/2020","419.55","428.00","428.00","419.55","81.20K","-3.99%"
"12/18/2020","437.00","441.00","441.00","437.00","67.77K","-0.67%"
"12/17/2020","439.95","436.00","441.00","436.00","55.85K","0.91%"
"12/16/2020","436.00","426.50","436.00","426.20","97.92K","2.32%"
"12/15/2020","426.10","425.10","427.00","425.05","56.55K","0.25%"
"12/14/2020","425.05","427.90","430.00","425.05","27.83K","-0.48%"
"12/11/2020","427.10","421.00","428.00","420.85","140.96K","2.92%"
"12/10/2020","415.00","418.00","420.00","415.00","18.86K","-0.69%"
"12/09/2020","417.90","417.50","422.00","417.00","143.55K","0.60%"
"12/08/2020","415.40","412.95","417.00","412.95","10.19K","0.83%"
"12/07/2020","412.00","412.75","412.75","412.00","3.40K","0.50%"
"12/04/2020","409.95","410.00","411.00","408.00","23.56K","0.72%"
"12/03/2020","407.00","410.00","410.00","406.00","132.90K","0.35%"
"12/02/2020","405.60","409.50","409.50","405.25","81.54K","-0.10%"
"12/01/2020","406.00","404.00","411.90","404.00","3.75K","-0.98%"
"11/30/2020","410.00","400.50","410.00","400.50","98.05K","1.74%"
"11/27/2020","403.00","410.05","411.80","403.00","13.94K","-1.71%"
"11/26/2020","410.00","417.90","418.00","410.00","9.10K","-1.68%"
"11/25/2020","417.00","411.00","418.90","411.00","109.68K","1.48%"
"11/24/2020","410.90","411.90","411.90","408.25","22.63K","1.06%"
"11/23/2020","406.60","411.00","413.00","406.60","8.03K","-0.02%"
"11/20/2020","406.70","410.65","410.65","405.00","162.44K","2.99%"
"11/19/2020","394.90","390.40","397.90","390.40","44.77K","-0.28%"
"11/17/2020","396.00","395.15","399.00","395.15","48.92K","0.23%"
"11/16/2020","395.10","391.90","397.00","389.00","96.42K","1.31%"
"11/13/2020","390.00","385.55","394.00","385.55","100.64K","1.27%"
"11/12/2020","385.10","385.05","387.95","381.00","20.06K","0.03%"
"11/11/2020","385.00","389.90","389.90","384.00","20.42K","-0.52%"
"11/10/2020","387.00","389.00","392.00","386.10","64.38K","0.52%"
"11/09/2020","385.00","375.15","386.00","375.15","129.20K","2.52%"
"11/05/2020","375.55","376.00","377.00","375.00","9.28K","0.05%"
"11/04/2020","375.35","375.05","376.00","375.05","25.51K","-0.17%"
"11/03/2020","376.00","375.80","376.00","375.10","27.07K","0.05%"
"11/02/2020","375.80","377.00","377.90","374.00","10.89K","-0.58%"
"10/28/2020","378.00","375.20","379.50","374.55","52.21K","-0.07%"
"10/27/2020","378.25","376.60","380.00","376.60","16.10K","0.07%"
"10/26/2020","378.00","378.00","383.00","378.00","4.39K","-0.51%"
"10/23/2020","379.95","379.95","380.00","377.00","33.65K","0.77%"
"10/22/2020","377.05","373.00","380.00","373.00","21.92K","0.55%"
"10/21/2020","375.00","372.00","375.50","371.10","2.98K","1.08%"
